"UI 요소명","Figma 프레임명","위치","지원 및 연결 패널","동작 형태","설명/메뉴"
"안내 패널","Start screen R","오른쪽","x","오른쪽 컨트롤러 포인터 → 트리거 누르기 하면 사라짐","시작 시 컨트롤러에 사용에 대한 안내 '포인터를 왼쪽 패널에 맞추어 트리거를 눌러 시작할 수 있습니다'라는 문구제공"
"새스케치","Start screen L","위","메인 창작 화면","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","새로운 빈 스케치 화면을 열어 창작을 시작할 수 있습니다."
"불러오기","Start screen L","중간","Local storage","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","로컬에 저장된 스케치 파일을 불러와 이어서 작업할 수 있습니다. 저장된 파일 목록이 나타납니다."
"갤러리","Start screen L","아래","Gallery","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","어플리케이션과 연결되어 저장하였던 작품들의 리스트를 볼 수 있으며 작품의 공간으로 이동해 감상할 수 있습니다."
"썸네일","Local storage","3*3으로 배치 프레임전체","메인 창작 화면","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","저장된 스케치들을 3×3 격자로 보여주는 미리보기 이미지입니다. 선택 시 해당 스케치를 불러옵니다."
"스크롤","Local storage","제일 오른쪽","아래쪽 썸네일들","오른쪽 컨트롤러 포인터 → 트리거 누른 채로 아래로 이동","썸네일 목록이 많을 경우 아래로 스크롤하여 더 많은 스케치를 탐색할 수 있습니다."
"추가 기능","Local storage","썸네일 칸 오른쪽 상단 점 3","Edit function","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 스케치에 대해 편집, 삭제, 즐겨찾기 등의 추가 기능 메뉴를 엽니다."
"즐겨 찾기","Edit function","상단","썸네일 왼쪽 상단 별표","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","로컬에 저장된 스케치를 즐겨찾기 목록에 추가합니다. 썸네일의 왼쪽 상단에 별표 아이콘이 강조되어 표시됩니다."
"편집","Edit function","중단","File editor","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 로컬 저장 스케치의 제목을 수정할 수 있는 제목 편집 화면으로 이동합니다."
"삭제","Edit function","하단","Delete question","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 로컬 저장 스케치를 삭제합니다. 삭제하기 전, 확인 질문 패널을 띄웁니다."
"삭제 질문 패널","Delete question","Edit function 상단","Notice","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","스케치를 정말 삭제할지 묻는 확인 패널입니다. 확인 시 해당 파일이 삭제됩니다."
"즐겨찾기 삭제","File editor","왼쪽 상단","별표 사라짐","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","즐겨찾기 목록에서 해당 스케치를 제거합니다. 썸네일의 왼쪽 상단에 별표 아이콘이 비활성화 됩니다."
"제목 수정","File editor","중","Keyboard","오른쪽 컨트롤러 포인터 → 트리거 누르기 1","선택한 스케치의 제목을 키보드를 통해 수정할 수 있습니다."
